ETA,PHI,PT
-1.00413, 4.1789, 0.371858
-0.959441, 4.17768, 2.25037
-0.848874, 4.16363, 2.34244
-0.91586, 4.14388, 10.1113
-0.953254, 4.09723, 4.48128
-0.962905, 4.09949, 1.18244
-0.926585, 4.00232, 1.33364
-0.945228, 4.07169, 6.31215
-0.884511, 4.09158, 1.63702
-0.875209, 4.08687, 10.1261
-0.873226, 4.01308, 3.50192
-0.85673, 4.04214, 7.02049
-0.866217, 4.05805, 2.51173
@@@,@@@,@@@
-0.677294, 2.74797, 104.742
-1.11099, 2.85854, 2.08375
-1.06956, 2.81564, 0.507168
-0.531662, 2.40744, 0.0780863
-0.40651, 2.5368, 0.381366
-0.523665, 2.48676, 1.05095
-0.938911, 2.60287, 0.495383
-0.395899, 2.74402, 0.468816
-0.887649, 2.88761, 0.794966
-0.450338, 2.79491, 2.68755
-0.56767, 2.93251, 0.150728
-0.81296, 2.66772, 7.02053
-0.827142, 2.72953, 1.72068
-0.850462, 2.7225, 0.441967
-0.515936, 2.80444, 2.54695
-0.566977, 2.69186, 15.4308
-0.631907, 2.65613, 2.48757
-0.569856, 2.80718, 0.331267
-0.586239, 2.72412, 1.17458
-0.679286, 2.68486, 2.3851
-0.721277, 2.72946, 15.5771
-0.677607, 2.72759, 0.816912
-0.721351, 2.77034, 5.91594
-0.629493, 2.76403, 5.87089
-0.635904, 2.77357, 6.15895
-0.659963, 2.77549, 5.07806
-0.66899, 2.81282, 18.9575
-0.681413, 2.79159, 4.33022
@@@,@@@,@@@
0.944611, 4.28132, 100.589
1.31442, 4.26417, 0.176369
0.734486, 4.14034, 1.69702
0.632337, 4.27237, 0.775904
0.741718, 4.09799, 1.19687
0.750654, 4.14691, 0.574118
0.82166, 4.43629, 0.371827
0.752997, 4.23764, 1.68314
1.09622, 4.24964, 0.575352
1.06819, 4.25948, 0.277548
0.927613, 4.39638, 1.76307
0.912356, 4.3317, 0.779325
0.970099, 4.25509, 4.22583
0.9552, 4.28656, 86.5566
@@@,@@@,@@@
1.28184, 1.86058, 108.08
1.59819, 2.18389, 0.233947
2.0039, 2.14515, 0.500808
1.56445, 1.71931, 0.334272
1.54188, 1.99013, 0.10022
1.23079, 2.08583, 0.0580062
1.43814, 1.99902, 1.85181
1.26399, 1.79627, 0.917438
1.20888, 1.77007, 1.26598
1.36441, 1.81392, 0.566311
1.28886, 1.9047, 5.94569
1.22298, 1.83948, 2.86979
