ETA,PHI,PT
-0.310225, 1.07089, 1.44668
-0.309707, 1.07765, 4.38202
-0.290834, 1.08883, 2.57242
-0.298549, 1.0913, 13.3825
-0.298462, 1.09265, 14.0274
@@@,@@@,@@@
1.38828, 1.61346, 100.627
1.46778, 1.29027, 0.179055
1.53231, 1.52947, 3.07938
1.4968, 1.50942, 4.13735
1.45297, 1.40634, 6.81831
1.57825, 1.40916, 1.54942
1.52379, 1.4365, 10.1745
1.512, 1.42641, 7.43149
1.1183, 1.86365, 0.414727
1.22334, 1.89165, 0.901587
1.19126, 1.89093, 3.1721
1.18596, 1.8483, 9.12336
1.27543, 1.88578, 2.03803
1.29064, 1.43261, 3.25053
1.18037, 1.75179, 0.944278
1.32988, 1.82141, 1.7089
1.28773, 1.79654, 1.10214
1.34755, 1.7291, 7.64373
1.33016, 1.72092, 7.72908
1.40243, 1.67136, 8.56976
1.34454, 1.64814, 4.21054
1.3639, 1.62286, 0.784595
1.32632, 1.56276, 14.3384
1.31662, 1.61815, 2.57777
@@@,@@@,@@@
-1.21582, 3.56146, 106.986
-1.67993, 3.67361, 0.98533
-0.888734, 3.34223, 1.13465
-1.41681, 3.85875, 0.769045
-0.866512, 3.48854, 2.48172
-1.55764, 3.63882, 0.724042
-1.51283, 3.31214, 0.089093
-0.940892, 3.68662, 2.67013
-1.3243, 3.29512, 1.27246
-0.932555, 3.50215, 0.585188
-0.96787, 3.70515, 0.108543
-1.04993, 3.33995, 2.22086
-1.02946, 3.73235, 4.746
-1.38463, 3.3646, 3.17047
-1.01441, 3.47648, 0.961297
-1.06302, 3.41366, 1.99097
-1.32084, 3.76272, 2.19239
-1.08079, 3.70636, 2.04639
-1.41492, 3.5638, 0.775168
-1.32746, 3.66071, 1.09654
-1.19046, 3.4316, 0.55178
-1.2898, 3.4517, 2.05441
-1.32923, 3.50266, 10.3329
-1.26468, 3.4588, 0.323913
-1.25166, 3.46598, 5.3461
-1.39946, 3.51042, 0.972677
-1.13119, 3.51936, 2.38692
-1.14722, 3.62962, 1.18429
-1.15427, 3.56283, 6.38654
-1.2657, 3.61466, 2.79857
-1.20796, 3.60694, 10.1532
-1.21349, 3.58616, 31.1832
-1.20267, 3.57124, 3.8094
@@@,@@@,@@@
-0.840873, 4.74014, 105.956
-0.917116, 4.36398, 0.0725618
-1.04343, 4.45042, 4.67759
-1.03539, 4.46219, 0.894226
-0.975845, 4.44062, 6.53999
-0.560333, 4.57873, 0.259629
-0.634717, 4.91995, 0.576707
-0.633953, 4.91063, 0.17641
-0.941094, 4.66647, 0.0870132
-0.661029, 4.54348, 0.754201
-0.715607, 4.51349, 0.174616
-1.09325, 4.78613, 0.252474
-0.977867, 4.60132, 4.61403
-0.952877, 4.5818, 3.86166
-0.958098, 4.69789, 0.197191
-0.794055, 4.98412, 0.558271
-0.833405, 4.97074, 0.39787
-0.784497, 4.96688, 0.0779922
-0.661907, 4.75467, 1.34552
-0.816841, 4.72217, 3.49573
-0.833695, 4.78243, 16.1641
-0.814293, 4.77393, 7.90416
-0.821051, 4.81658, 15.3377
-0.825399, 4.83801, 2.48432
-0.791027, 4.83296, 6.29121
-0.751783, 4.79731, 8.37043
-0.767521, 4.8005, 11.2461
-0.766523, 4.79822, 9.98123
@@@,@@@,@@@
-0.393492, 0.0640795, 105.301
-0.210856, 0.388487, 1.99405
-0.0911633, 0.217453, 0.981733
-0.165539, 6.14524, 3.26192
-0.205153, 6.13948, 1.39624
-0.263362, 6.10316, 0.493998
-0.531988, 6.11197, 0.274511
-0.206551, 6.21548, 1.47819
-0.263103, 0.246149, 0.446131
-0.579071, 0.0911666, 0.939193
-0.284521, 0.174037, 0.471153
-0.34136, 0.176641, 1.8829
-0.317609, 0.0216828, 0.606188
-0.354196, 0.0363283, 1.5206
-0.396243, 0.00177571, 6.48211
-0.414986, 0.108723, 15.4089
-0.38312, 0.0498219, 2.4049
-0.400357, 0.0390723, 4.08103
-0.391737, 0.0660329, 12.155
-0.407393, 0.0612892, 9.98977
-0.432998, 0.0691515, 32.4258
-0.416062, 0.0532203, 6.90708
@@@,@@@,@@@
0.224167, 3.20719, 108.896
0.481466, 3.17956, 1.75755
0.293759, 3.45675, 0.933582
0.670173, 3.0747, 0.109227
0.460297, 3.15788, 2.20592
0.0978069, 3.02592, 0.104369
0.38505, 3.19198, 7.18971
0.107942, 3.29876, 5.42345
0.322699, 3.22267, 1.54804
0.236625, 3.09256, 0.749405
0.297334, 3.21597, 4.50855
0.250002, 3.26259, 8.58912
0.236865, 3.26571, 0.812938
0.192663, 3.28182, 2.35479
0.252302, 3.18407, 1.32664
0.256206, 3.21052, 15.2267
0.268995, 3.1909, 1.08813
0.237421, 3.14103, 1.65314
0.133318, 3.1192, 2.76647
0.216164, 3.21762, 10.8351
0.210501, 3.16108, 7.48839
0.144409, 3.12627, 2.05109
0.0869783, 3.18437, 0.511302
0.167204, 3.15477, 4.87058
0.178976, 3.23707, 1.63512
0.125675, 3.19591, 10.4921
0.152394, 3.20569, 12.7879
@@@,@@@,@@@
-1.69158, 5.39288, 104.058
-1.43439, 5.15036, 0.350357
-1.65632, 5.05058, 0.73027
-1.91326, 5.60314, 0.179485
-1.80441, 5.65846, 3.90483
-1.60259, 5.10798, 0.0695873
-1.92449, 5.39871, 2.82056
-1.90656, 5.43107, 4.54451
-1.8716, 5.5071, 3.01502
-1.83574, 5.5522, 2.49733
-1.87906, 5.4343, 3.42822
-1.85481, 5.46927, 3.52746
-1.86949, 5.33468, 0.753137
-1.81417, 5.46064, 1.85474
-1.82689, 5.35358, 0.845998
-1.82549, 5.38927, 6.64295
-1.77888, 5.34232, 3.30496
-1.61396, 5.24895, 1.37094
-1.68071, 5.38467, 4.06852
-1.67914, 5.35998, 7.31779
-1.60334, 5.46628, 0.529497
-1.6424, 5.29906, 1.16929
-1.53173, 5.44337, 1.91537
-1.57357, 5.30285, 1.52504
-1.61428, 5.33335, 4.6169
-1.5358, 5.37844, 11.216
-1.55905, 5.36577, 17.5126
-1.57402, 5.36435, 14.6767
@@@,@@@,@@@
-0.874917, 5.87314, 100.703
-0.494286, 5.75754, 0.15197
-0.639919, 5.59126, 4.6741
-0.978443, 5.61408, 0.461864
-1.04085, 6.11093, 2.47588
-1.09249, 6.02876, 0.126283
-0.686409, 6.06015, 0.295551
-0.865743, 5.63965, 0.240503
-1.08091, 5.8186, 3.7266
-0.982535, 5.70676, 0.421479
-0.804032, 5.7068, 3.40863
-0.721577, 5.96587, 2.83514
-0.83633, 5.75817, 4.95203
-0.960005, 5.84859, 3.71614
-0.913913, 5.83196, 0.626687
-0.925342, 5.84745, 11.065
-0.8815, 5.82704, 2.52455
-0.827632, 5.83719, 3.88846
-0.877852, 5.84474, 5.35748
-0.899353, 5.8538, 2.3002
-0.826833, 5.9912, 2.31131
-0.891422, 5.87346, 1.93155
-0.89954, 5.91925, 6.54652
-0.894548, 5.95651, 1.44078
-0.889164, 5.9332, 8.66583
-0.846888, 5.96074, 4.61083
-0.862782, 5.94482, 2.28906
-0.83958, 5.92886, 7.56618
-0.840712, 5.92302, 12.5871
@@@,@@@,@@@
-1.63966, 2.75545, 102.913
-1.68379, 2.36535, 0.836386
-1.33621, 2.66002, 2.31971
-1.45629, 2.54092, 0.439881
-1.40609, 2.65895, 0.521548
-1.44322, 2.6813, 4.77659
-1.46717, 2.75757, 2.5972
-1.83738, 2.60916, 1.36137
-1.70152, 2.65293, 2.69859
-1.74847, 2.7139, 4.91296
-1.60743, 2.68999, 2.24201
-1.66248, 2.68468, 0.778145
-1.61919, 2.7391, 6.77473
-1.69202, 2.7453, 0.795236
-1.62408, 2.80949, 7.23996
-1.69008, 2.76705, 3.10343
