ETA,PHI,PT
0.782111, 3.30988, 3.9508
0.792653, 3.31347, 3.46813
0.856497, 3.28719, 7.40886
0.804532, 3.2209, 7.4499
0.837839, 3.27613, 4.00018
0.825072, 3.25029, 9.60586
0.785887, 3.25468, 1.50698
0.798141, 3.25557, 6.48606
0.80755, 3.2707, 13.1109
0.805099, 3.28231, 9.87041
@@@,@@@,@@@
-0.60227, 3.80278, 104.158
-0.845246, 3.51472, 0.924633
-0.738107, 3.46335, 0.795509
-0.749499, 3.56394, 0.235741
-0.721687, 3.57545, 1.00534
-0.807858, 3.84637, 9.82668
-0.744173, 3.70624, 1.97394
-0.752564, 3.75854, 5.92778
-0.616328, 3.91498, 7.2656
-0.672727, 3.79932, 1.02468
-0.502862, 3.91834, 0.156062
-1.31949, 3.79181, 0.0392528
-0.499143, 3.87745, 1.3593
-0.511018, 3.85361, 8.66247
-0.560985, 3.83108, 2.24296
-0.558811, 3.82767, 2.55965
-0.579856, 3.80489, 6.21408
-0.569825, 3.80872, 6.32162
-0.536183, 3.80564, 7.80962
-0.527276, 3.78995, 7.16262
-0.540583, 3.79889, 6.13375
-0.55219, 3.77962, 25.8097
-0.535154, 3.77963, 0.919161
@@@,@@@,@@@
0.156672, 5.8512, 109.263
0.537074, 5.90652, 1.85554
0.298384, 5.50551, 0.660723
0.137665, 6.1752, 0.58512
-0.00101678, 5.6001, 0.317766
0.131582, 5.57686, 2.84032
-0.139122, 5.92392, 0.159343
0.375971, 5.76491, 2.23817
0.283368, 6.02176, 2.7845
0.267557, 5.70354, 0.0711526
0.15219, 5.65983, 0.0710026
0.302926, 5.80133, 3.20638
0.260878, 5.92756, 2.01442
0.269323, 5.80963, 2.86873
0.00904847, 5.93872, 0.612921
0.241988, 5.87336, 8.70149
0.173848, 5.94934, 1.12302
0.184914, 5.79822, 5.36122
0.049787, 5.81329, 3.34167
0.0358117, 5.86768, 1.22276
0.124415, 5.80565, 2.7451
0.140067, 5.85891, 27.5606
0.147056, 5.84826, 4.07091
0.0773007, 5.91229, 1.59207
0.0911969, 5.83853, 1.35462
0.0910665, 5.84725, 4.29237
0.0934469, 5.86688, 20.5355
0.0824757, 5.88038, 7.36019
@@@,@@@,@@@
0.257863, 1.66772, 104.518
-0.110863, 1.63733, 0.195535
0.247362, 1.31853, 0.973058
0.432809, 1.36563, 0.564911
0.0725282, 1.88214, 0.619538
0.101517, 1.49483, 1.27962
0.174138, 1.85414, 1.68292
0.0937391, 1.72202, 5.2186
0.350072, 1.81632, 0.594219
0.137042, 1.75823, 3.19565
0.145376, 1.75971, 1.11166
0.179159, 1.77859, 6.75411
0.281992, 1.81277, 2.66096
0.146552, 1.73779, 0.988902
0.169874, 1.76134, 5.85949
0.417424, 1.73879, 1.18859
0.205507, 1.76206, 2.44748
0.214053, 1.75698, 0.960584
0.230346, 1.75623, 3.06716
0.19471, 1.7295, 2.99271
0.218764, 1.70001, 4.06186
0.21854, 1.68194, 2.45862
0.206941, 1.66547, 2.84646
0.217407, 1.66933, 4.75524
0.284609, 1.70387, 3.99356
0.314122, 1.48043, 0.79651
0.442473, 1.55649, 2.7093
0.429075, 1.49194, 0.222927
0.340323, 1.51136, 2.33554
0.303321, 1.63334, 8.88489
0.368931, 1.60671, 5.51957
0.363552, 1.57958, 0.400482
0.322903, 1.58886, 23.3514
0.304933, 1.57553, 0.296435
@@@,@@@,@@@
1.6467, 0.670095, 101.016
1.33364, 0.510926, 0.48996
1.71189, 1.02047, 0.0374907
1.36559, 0.691062, 0.0562132
1.59161, 0.44318, 5.78657
1.4515, 0.820898, 1.09784
1.55402, 0.892862, 0.671225
1.52954, 0.877629, 2.77802
1.70215, 0.535261, 2.97702
1.52763, 0.608367, 1.44189
1.6289, 0.541724, 1.13129
1.55056, 0.608802, 0.657988
1.5556, 0.643551, 1.74562
1.55972, 0.697623, 1.85457
1.70851, 0.604102, 4.11047
1.63557, 0.598774, 5.75296
1.59539, 0.645399, 5.47938
