ETA,PHI,PT
-0.697922, 0.336918, 1.93269
-0.61648, 0.318917, 0.150313
-0.590669, 0.414978, 0.752437
-0.662863, 0.378434, 7.89401
-0.617062, 0.368788, 39.6513
-0.634616, 0.386927, 39.1627
-0.645454, 0.3836, 0.398757
@@@,@@@,@@@
-0.235027, 3.94048, 105.897
-0.482876, 3.61454, 0.181166
0.0949121, 3.97986, 1.21653
-0.37214, 3.67282, 0.188811
-0.279767, 3.66172, 0.995153
-0.0207147, 4.01653, 1.30092
-0.0849372, 4.04263, 4.68586
-0.0956383, 3.97131, 1.77703
-0.104029, 3.93265, 2.11995
-0.23831, 4.02289, 0.693017
-0.306282, 3.88249, 1.39673
-0.216422, 3.9784, 0.699512
-0.247267, 3.94278, 3.6454
-0.219037, 3.93107, 5.75317
-0.227465, 3.94038, 12.5598
-0.220236, 3.94914, 9.64889
-0.268688, 3.90758, 8.19731
-0.257401, 3.91603, 16.8639
-0.259864, 3.92837, 3.06237
-0.297062, 3.93855, 4.18236
-0.270115, 3.95568, 25.8433
-0.264484, 3.9548, 0.989279
@@@,@@@,@@@
0.455512, 0.902574, 107.516
0.624941, 0.555679, 3.17422
0.284509, 1.12061, 4.27411
0.548252, 0.657097, 1.16261
1.80717, 1.06302, 0.109332
0.411284, 1.07455, 2.48877
0.386577, 1.05947, 8.73692
0.575244, 0.793034, 0.855615
0.580097, 0.873757, 4.96872
0.436653, 1.00175, 9.04933
0.431569, 0.99422, 0.544831
0.533434, 0.962107, 3.15431
0.539487, 0.93946, 0.558611
0.555173, 0.861845, 4.14603
0.42376, 0.766027, 1.67187
0.521387, 0.828042, 0.524583
0.504055, 0.833293, 3.04992
0.487145, 0.820947, 1.70018
0.468133, 0.808053, 3.83422
0.396296, 0.833437, 7.63639
0.389147, 0.896097, 10.5018
0.467236, 0.830375, 1.19183
0.488206, 0.881572, 5.45349
0.4425, 0.919722, 2.87007
0.431364, 0.896867, 9.72017
0.451439, 0.882307, 16.7463
@@@,@@@,@@@
0.340476, 3.91901, 101.752
0.667357, 3.60245, 0.228296
0.287536, 4.29451, 0.396399
0.396311, 4.26045, 4.33523
0.648898, 4.03544, 0.0668525
0.327032, 4.2414, 0.101454
0.958514, 3.67908, 0.0422849
0.266982, 3.94972, 9.0166
0.221128, 3.84241, 0.371904
0.233321, 3.91472, 0.96309
0.201341, 3.90502, 6.21178
0.220118, 3.89196, 13.6107
0.228607, 3.89751, 3.66676
0.354414, 4.03202, 2.88924
0.34214, 3.84612, 0.821293
0.388563, 3.80155, 0.962546
0.402608, 3.80833, 1.93652
0.407009, 3.87266, 6.48447
0.394674, 3.87762, 1.93523
0.369761, 3.84896, 4.04124
0.392915, 3.8252, 1.14621
0.393131, 3.84768, 8.8109
0.39285, 3.84506, 8.22131
0.561413, 3.93065, 0.166248
0.386896, 3.94369, 17.6349
0.397489, 3.96373, 8.11996
@@@,@@@,@@@
-0.890669, 3.2586, 101.39
-0.718639, 3.60619, 0.210823
-0.906804, 3.34557, 4.67477
-0.941053, 3.27132, 12.8191
-0.901331, 3.21235, 22.6213
-0.825982, 3.27845, 4.47151
-0.87047, 3.23095, 20.6016
-0.85617, 3.32215, 0.964951
-0.857078, 3.29779, 3.03792
-0.892796, 3.26936, 6.00954
-0.882025, 3.28096, 20.0392
-0.889555, 3.29068, 6.01671
@@@,@@@,@@@
-2.13344, 3.10248, 108.199
-2.48783, 3.00077, 0.1122
-2.38783, 2.89247, 0.798988
-2.45691, 2.93921, 0.372698
-2.28008, 3.25935, 0.592861
-2.32386, 3.09607, 1.07759
-2.0644, 3.25444, 0.0802592
-2.22196, 3.04143, 9.78482
-2.08818, 3.19024, 1.15149
-2.06492, 3.05403, 6.74425
-2.14694, 3.17337, 4.58667
-2.15071, 3.05728, 5.39816
-2.08958, 3.05277, 0.472466
-2.16167, 3.10645, 3.88263
-2.12098, 3.08517, 18.9422
-2.08825, 3.10634, 12.4975
-2.1239, 3.12832, 16.9111
-2.12075, 3.12024, 13.108
-2.10191, 3.14431, 10.4678
-2.09737, 3.14981, 1.31833
@@@,@@@,@@@
0.524157, 4.22832, 109.592
0.176247, 4.14805, 0.236693
0.239617, 4.43344, 1.34426
0.486327, 4.57235, 1.05163
0.336502, 4.47748, 0.238527
0.76827, 4.38333, 3.07972
0.303147, 4.29867, 1.27207
0.512004, 4.00585, 1.67284
0.398062, 4.34, 1.22719
0.571326, 4.06806, 0.11856
0.405256, 4.1995, 0.329281
0.669922, 4.23874, 0.120248
0.690122, 4.20602, 0.534589
0.425969, 4.14527, 2.65131
0.539872, 4.12245, 11.0081
0.529933, 4.3328, 2.50845
0.514175, 4.29809, 5.60172
0.497783, 4.29344, 1.26844
0.52302, 4.15417, 0.613918
0.521476, 4.16767, 6.20317
0.578191, 4.19792, 0.699739
0.56762, 4.23274, 10.4603
0.512433, 4.18605, 7.00127
0.538083, 4.26484, 6.71813
0.500295, 4.2524, 3.59029
0.529597, 4.24782, 4.52425
0.512089, 4.22753, 28.8695
0.523727, 4.22571, 6.96312
@@@,@@@,@@@
-0.204781, 5.21157, 108.389
-0.587382, 5.0995, 0.136433
0.180257, 5.18502, 0.367405
-0.291484, 4.97889, 1.29994
-0.164819, 5.25439, 7.18335
-0.192718, 5.24275, 1.76056
-0.186569, 5.19747, 6.70654
-0.185051, 5.21909, 16.7417
-0.229618, 5.22098, 14.3276
-0.210015, 5.2203, 24.8445
-0.207122, 5.20686, 7.75602
-0.212607, 5.19752, 27.3135
@@@,@@@,@@@
1.71337, 4.32791, 101.804
1.70347, 4.71357, 0.756666
1.4468, 4.20441, 0.150677
1.74564, 4.14347, 0.203879
1.54447, 4.43955, 3.83101
1.66281, 4.4477, 2.92893
1.71385, 4.3164, 2.8469
1.69435, 4.27951, 9.91711
1.71467, 4.33579, 15.3836
1.72585, 4.31926, 59.3518
1.72666, 4.31247, 6.55368
@@@,@@@,@@@
0.680722, 5.74981, 100.076
0.991571, 5.93121, 0.0749772
0.768103, 5.40884, 0.121776
0.744898, 6.04179, 0.123368
0.69177, 5.49062, 0.20652
0.839435, 5.5648, 0.159922
0.91754, 5.82527, 0.48338
0.61074, 5.56072, 6.954
0.742802, 5.60015, 6.47515
0.661141, 5.96262, 0.136918
0.508439, 5.71096, 2.15443
0.79823, 5.68528, 1.51966
1.89421, 5.83734, 0.0385626
0.665313, 5.6928, 0.287298
0.707735, 5.68396, 4.14518
0.684005, 5.88674, 1.654
0.686393, 5.70977, 2.56315
0.658861, 5.72228, 10.2299
0.658174, 5.75824, 0.357289
0.716521, 5.84233, 1.37989
0.671231, 5.79767, 22.1078
0.681091, 5.79376, 36.8345
0.687483, 5.79194, 2.39736
@@@,@@@,@@@
-0.226245, 0.582292, 106.287
0.163201, 0.613413, 0.452528
0.120841, 0.569266, 2.6806
-0.426678, 0.834471, 0.472957
-0.409986, 0.814196, 0.99934
-0.342359, 0.828065, 0.232758
-0.318738, 0.368223, 0.124801
-0.422752, 0.578804, 0.232438
-0.303639, 0.695673, 0.176048
-0.108304, 0.556217, 3.8682
-0.29788, 0.66912, 1.24268
-0.245059, 0.562386, 2.45501
-0.238337, 0.564929, 4.09109
-0.233179, 0.541251, 18.8167
-0.229357, 0.552157, 18.2688
-0.221954, 0.592328, 0.298535
-0.240867, 0.602095, 48.0837
-0.240142, 0.609127, 3.88643
@@@,@@@,@@@
-1.61115, 1.06376, 104.2
-1.26754, 0.854763, 0.614975
-1.50826, 0.737713, 0.263112
-1.30562, 0.828677, 0.280061
-1.26508, 1.21497, 1.4847
-1.92843, 0.874045, 0.383192
-1.74593, 1.40618, 0.654122
-1.3148, 1.23361, 1.89736
-1.53899, 0.720864, 0.0823911
-1.49712, 0.736176, 0.0310171
-1.86866, 1.22046, 0.562942
-1.87042, 1.07942, 0.213611
-1.37869, 1.00016, 1.87597
-1.67401, 0.823591, 0.89902
-1.83046, 0.967569, 0.727205
-1.55425, 0.885062, 0.224179
-1.53276, 1.18519, 0.952408
-1.75906, 1.09824, 0.143223
-1.53572, 0.963539, 3.36181
-1.55523, 0.953088, 1.45797
-1.7466, 1.04098, 1.45515
-1.53574, 1.15228, 3.42171
-1.70468, 0.992307, 3.03445
-1.72316, 1.05869, 0.565947
-1.6268, 0.968515, 1.84827
-1.60419, 0.990715, 4.04191
-1.68749, 1.03642, 7.16398
-1.69346, 1.07517, 4.50165
-1.68486, 1.06336, 3.51685
-1.53433, 1.10061, 3.248
-1.60957, 1.01189, 4.06635
-1.56187, 1.03689, 6.08323
-1.56199, 1.02627, 0.909787
-1.65896, 1.03874, 0.696178
-1.56778, 1.07625, 6.97641
-1.61041, 1.05471, 6.49492
-1.6296, 1.05735, 3.61606
-1.60185, 1.10562, 10.0854
-1.5907, 1.12279, 2.49372
-1.65468, 1.12736, 2.51244
-1.63752, 1.10584, 11.6493
@@@,@@@,@@@
1.63075, 0.384707, 105.255
1.88735, 0.101936, 0.142159
1.81991, 0.112339, 0.761361
1.86804, 0.22832, 0.992183
1.6049, 0.645667, 2.38519
1.95226, 0.465355, 2.14344
1.78892, 0.330768, 2.75302
1.61701, 0.561597, 1.93399
1.69455, 0.452063, 1.82539
1.69727, 0.313101, 0.0999162
1.86299, 0.29881, 0.181807
1.66135, 0.417962, 2.51174
1.59334, 0.412483, 13.6907
1.59555, 0.379016, 25.4646
1.59871, 0.354808, 3.20083
1.63176, 0.363531, 4.87001
1.61302, 0.363711, 27.6796
1.6234, 0.369851, 14.8087
@@@,@@@,@@@
0.470075, 4.79698, 102.447
0.699014, 5.09726, 1.60665
0.821028, 4.90127, 0.333333
0.184685, 4.90333, 0.294984
0.544683, 4.61097, 0.512691
0.541753, 4.77551, 4.75159
0.493461, 4.75823, 12.9291
0.483543, 4.82312, 8.75744
0.478911, 4.80456, 4.64757
0.435135, 4.8137, 0.523402
0.449496, 4.79405, 58.7469
0.458604, 4.80289, 9.44218
@@@,@@@,@@@
1.18034, 0.205457, 103.51
1.10281, 0.0824658, 0.82522
1.4913, 6.26768, 0.086305
1.34438, 0.565772, 0.428727
0.793618, 0.244539, 0.113245
1.1023, 0.450833, 0.647572
1.12888, 6.17409, 0.19848
1.11411, 0.506421, 0.195176
0.925425, 0.0642509, 0.450307
1.24189, 6.2306, 0.0591529
1.32065, 6.2798, 0.262493
0.952462, 0.108924, 0.512552
0.992794, 0.339008, 0.750296
1.39185, 0.36049, 0.41724
0.980598, 0.163295, 1.20954
1.28619, 0.0447735, 0.547723
1.20548, 0.0278042, 0.0668711
1.24577, 0.0493123, 3.94119
1.32926, 0.140793, 5.96522
1.10442, 0.0491904, 0.108054
1.37247, 0.221614, 0.41968
1.30396, 0.160746, 1.68492
1.07023, 0.162273, 2.37426
1.30748, 0.163698, 0.356291
1.10098, 0.167518, 8.95663
1.16316, 0.278921, 3.06931
