ETA,PHI,PT
-0.700026, 4.59352, 6.71429
-0.781707, 4.65519, 6.39429
-0.756628, 4.63434, 5.74062
-0.72553, 4.62395, 2.18492
-0.699167, 4.64731, 8.43318
-0.742422, 4.65948, 5.38754
-0.722656, 4.66367, 5.32705
-0.73101, 4.69312, 15.5539
-0.744961, 4.68552, 1.99665
@@@,@@@,@@@
1.35571, 6.15762, 100.147
1.35614, 0.252071, 0.0197868
1.26149, 0.187656, 0.0920109
1.57492, 0.101491, 0.19403
1.36682, 0.151752, 2.04165
1.16005, 5.96242, 0.323765
1.6082, 6.08614, 0.0730432
1.25995, 6.11015, 6.3542
1.29736, 6.12297, 1.83402
1.32487, 6.18893, 15.3443
1.33818, 6.17192, 12.4703
1.32968, 6.15011, 0.879704
1.38126, 6.12165, 5.70943
1.38236, 6.15089, 20.1261
1.36986, 6.1499, 7.40125
1.37274, 6.14087, 27.4035
@@@,@@@,@@@
-1.33217, 5.29721, 106.51
-1.04372, 5.57818, 0.692135
-0.972901, 5.09158, 0.936043
-1.14317, 4.97133, 3.79301
-0.990089, 5.16739, 4.06011
-1.11728, 5.35793, 1.46628
-1.01315, 5.20285, 0.83491
-1.05643, 5.13513, 5.5383
-1.04472, 5.21475, 4.80571
-1.04168, 5.30288, 1.62357
-1.10848, 5.12176, 1.89907
-1.13667, 5.14668, 6.77654
-1.10166, 5.20007, 6.65377
-1.39324, 5.05428, 3.74879
-1.52325, 5.0726, 2.33233
-1.28133, 5.64735, 0.711107
-1.15742, 5.29618, 0.833982
-1.58336, 5.14769, 0.443429
-1.30088, 5.15704, 1.2403
-1.23677, 5.23286, 1.4705
-1.19433, 5.3545, 0.581156
-1.53624, 5.62675, 0.242974
-1.34045, 5.59502, 0.397019
-1.6101, 5.34584, 3.32143
-1.45701, 5.24208, 4.77865
-1.58586, 5.45658, 0.100775
-1.49941, 5.32627, 0.491385
-1.44413, 5.29405, 2.70387
-1.39839, 5.34865, 2.28795
-1.45019, 5.3526, 6.39424
-1.44704, 5.37898, 4.43664
-1.3387, 5.48779, 1.9449
-1.74712, 5.46863, 0.906504
-1.3599, 5.42759, 5.51657
-1.38845, 5.42503, 0.333023
-1.38059, 5.43947, 4.73734
-1.4678, 5.54841, 1.94368
-1.49533, 5.46922, 5.78066
-1.52356, 5.45694, 1.27964
-1.43127, 5.51512, 3.19405
-1.45359, 5.47334, 3.84197
-1.46188, 5.49401, 2.74881
@@@,@@@,@@@
1.64116, 4.10855, 108.93
1.36434, 3.9337, 0.864455
1.46395, 3.97028, 6.00518
1.5039, 4.05214, 13.5662
1.54703, 4.23238, 1.34338
1.54478, 4.20569, 0.519048
1.58739, 4.03754, 4.32357
1.70104, 4.00395, 0.572867
1.59568, 4.15173, 6.71922
1.69561, 4.20207, 5.49746
1.74085, 4.17109, 2.4966
1.67887, 4.18449, 5.62202
1.74185, 4.13383, 1.15536
1.63845, 4.08099, 1.44385
1.70542, 4.10026, 13.3569
1.72077, 4.10975, 4.1908
1.65901, 4.10883, 17.1266
1.67388, 4.13146, 16.5561
1.6971, 4.13941, 7.75007
@@@,@@@,@@@
-0.102949, 2.0917, 100.684
-0.0646917, 2.44292, 0.133035
-0.196903, 1.77389, 0.150176
-0.447011, 1.9953, 0.212066
-0.433667, 2.1275, 0.147598
-0.133636, 2.31101, 0.281785
-0.155561, 1.97233, 2.96192
-0.260582, 1.97765, 0.0588328
-0.0461739, 2.01006, 0.804901
-0.0203431, 2.10282, 11.0607
-0.128539, 2.15612, 5.63628
-0.0789326, 2.11963, 3.39031
-0.114696, 2.08789, 65.0116
-0.0857789, 2.09605, 10.8965
@@@,@@@,@@@
1.36483, 4.0198, 108.079
1.7325, 4.04172, 0.18711
1.28229, 4.25439, 11.2076
1.4187, 3.78425, 2.96417
1.38396, 4.10037, 5.45116
1.33645, 3.94723, 8.59411
1.36371, 3.96934, 6.54601
1.36981, 3.99072, 6.65826
1.36838, 3.99356, 29.6945
1.36992, 4.00824, 30.4547
1.37932, 4.00832, 6.77396
@@@,@@@,@@@
-1.78494, 4.74325, 104.112
-2.02776, 4.44989, 1.84289
-2.1244, 4.98945, 0.42464
-1.97557, 4.46337, 8.31145
-1.68442, 4.3971, 1.43407
-1.42595, 4.58852, 0.0897662
-1.39464, 4.67342, 0.133003
-1.78687, 5.12139, 1.61607
-1.65196, 4.45816, 0.365883
-1.4294, 4.62759, 0.470366
-1.4295, 4.80489, 0.83426
-1.49021, 4.64181, 0.661249
-1.44375, 4.73273, 2.39554
-1.58275, 5.01842, 0.933757
-1.52825, 4.94797, 0.723232
-1.50836, 4.67912, 4.35598
-1.50852, 4.73408, 7.3101
-1.49735, 4.73575, 2.63794
-1.71686, 4.52472, 3.05622
-2.16723, 4.71987, 0.337676
-1.90784, 4.52761, 0.629408
-1.88886, 5.06451, 0.302867
-1.71862, 4.57196, 0.906553
-1.9416, 4.98009, 0.565656
-1.86756, 4.99534, 0.503693
-1.82173, 4.90943, 0.162795
-1.77979, 4.72477, 4.62764
-1.86658, 4.84988, 0.0887037
-1.81676, 4.80333, 55.109
-1.81528, 4.77817, 4.23326
@@@,@@@,@@@
-0.262464, 3.67332, 102.446
-0.0746384, 3.58234, 1.23031
-0.183742, 3.57139, 1.00876
-0.187998, 3.59372, 0.40248
-0.297699, 3.57131, 1.38927
-0.252635, 3.58861, 3.37863
-0.318722, 3.6957, 5.39016
-0.279927, 3.70075, 10.4355
-0.256467, 3.69721, 8.85839
-0.243976, 3.66807, 14.183
-0.269499, 3.66343, 6.94169
-0.26132, 3.67742, 35.8418
-0.27196, 3.6772, 13.4254
@@@,@@@,@@@
-0.112083, 3.31519, 102.798
-0.261184, 3.65869, 1.09311
0.223987, 3.16534, 0.0581231
-0.141986, 3.6284, 0.0749268
-0.059762, 3.58368, 1.11146
-0.385474, 3.34606, 0.528045
-0.340327, 3.45221, 0.434234
-0.158233, 3.51061, 7.94452
-0.160318, 3.49168, 8.90978
-0.101016, 3.49865, 0.573352
0.0229105, 3.08607, 0.133458
0.0828262, 3.35083, 0.161145
-0.136734, 3.37053, 3.42203
-0.0329269, 3.1676, 0.116356
-0.0147024, 3.26565, 1.26981
-0.103048, 3.1896, 4.85853
-0.154071, 3.30218, 3.65652
-0.149047, 3.28372, 2.99503
-0.132414, 3.25878, 6.76924
-0.0741844, 3.226, 3.79812
-0.0883825, 3.28162, 3.03435
-0.103508, 3.27805, 20.2491
-0.0588903, 3.26306, 2.98403
-0.0646383, 3.2526, 5.3849
-0.0820151, 3.264, 16.9968
-0.0910923, 3.26165, 6.79227
@@@,@@@,@@@
-0.518674, 0.741314, 108.897
-0.505343, 1.02397, 0.755165
